"StateCode","EQDeductibleTier","EQClass","EQDeductible","Factor"
"CW",1,"1C","5%",1
"CW",1,"1C","10%",0.9
"CW",1,"1C","15%",0.8
"CW",1,"1C","20%",0.7
"CW",1,"1C","25%",0.6
"CW",1,"1C","30%",0.5
"CW",1,"1C","35%",0.45
"CW",1,"1C","40%",0.4
"CW",1,"1D","5%",1
"CW",1,"1D","10%",0.9
"CW",1,"1D","15%",0.8
"CW",1,"1D","20%",0.7
"CW",1,"1D","25%",0.6
"CW",1,"1D","30%",0.5
"CW",1,"1D","35%",0.45
"CW",1,"1D","40%",0.4
"CW",1,"2A","5%",1
"CW",1,"2A","10%",0.85
"CW",1,"2A","15%",0.7
"CW",1,"2A","20%",0.6
"CW",1,"2A","25%",0.5
"CW",1,"2A","30%",0.4
"CW",1,"2A","35%",0.35
"CW",1,"2A","40%",0.3
"CW",1,"2B","5%",1
"CW",1,"2B","10%",0.85
"CW",1,"2B","15%",0.7
"CW",1,"2B","20%",0.6
"CW",1,"2B","25%",0.5
"CW",1,"2B","30%",0.4
"CW",1,"2B","35%",0.35
"CW",1,"2B","40%",0.3
"CW",1,"3A","5%",1
"CW",1,"3A","10%",0.85
"CW",1,"3A","15%",0.75
"CW",1,"3A","20%",0.65
"CW",1,"3A","25%",0.55
"CW",1,"3A","30%",0.5
"CW",1,"3A","35%",0.4
"CW",1,"3A","40%",0.35
"CW",1,"3B","5%",1
"CW",1,"3B","10%",0.9
"CW",1,"3B","15%",0.8
"CW",1,"3B","20%",0.7
"CW",1,"3B","25%",0.6
"CW",1,"3B","30%",0.5
"CW",1,"3B","35%",0.45
"CW",1,"3B","40%",0.4
"CW",1,"3C","5%",1
"CW",1,"3C","10%",1
"CW",1,"3C","15%",0.9
"CW",1,"3C","20%",0.8
"CW",1,"3C","25%",0.7
"CW",1,"3C","30%",0.6
"CW",1,"3C","35%",0.5
"CW",1,"3C","40%",0.45
"CW",1,"4A","5%",1
"CW",1,"4A","10%",0.85
"CW",1,"4A","15%",0.7
"CW",1,"4A","20%",0.6
"CW",1,"4A","25%",0.5
"CW",1,"4A","30%",0.4
"CW",1,"4A","35%",0.35
"CW",1,"4A","40%",0.3
"CW",1,"4B","5%",1
"CW",1,"4B","10%",0.85
"CW",1,"4B","15%",0.75
"CW",1,"4B","20%",0.65
"CW",1,"4B","25%",0.55
"CW",1,"4B","30%",0.5
"CW",1,"4B","35%",0.4
"CW",1,"4B","40%",0.35
"CW",1,"4C","5%",1
"CW",1,"4C","10%",1
"CW",1,"4C","15%",0.9
"CW",1,"4C","20%",0.8
"CW",1,"4C","25%",0.7
"CW",1,"4C","30%",0.6
"CW",1,"4C","35%",0.5
"CW",1,"4C","40%",0.45
"CW",1,"4D","5%",1
"CW",1,"4D","10%",1
"CW",1,"4D","15%",0.9
"CW",1,"4D","20%",0.8
"CW",1,"4D","25%",0.7
"CW",1,"4D","30%",0.6
