"StateCode","EQDeductibleTier","EQClass","EQDeductible","EQSubLimitPct_From","EQSubLimitPct_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",1,"1C","750,000",1,2,0,1000001,0.8,0.8
"CW",1,"1C","750,000",1,2,1000001,3500001,0.88,0.88
"CW",1,"1C","750,000",1,2,3500001,5500001,1.28,1.28
"CW",1,"1C","750,000",1,2,5500001,10000001,1.76,1.72
"CW",1,"1C","750,000",1,2,10000001,2147483647,2.8,2.68
"CW",1,"1C","750,000",2,3,0,1000001,0.8,0.8
"CW",1,"1C","750,000",2,3,1000001,3500001,0.88,0.88
"CW",1,"1C","750,000",2,3,3500001,5500001,1.28,1.253
"CW",1,"1C","750,000",2,3,5500001,10000001,1.72,1.68
"CW",1,"1C","750,000",2,3,10000001,2147483647,2.68,2.533
"CW",1,"1C","750,000",3,4,0,1000001,0.8,0.82
"CW",1,"1C","750,000",3,4,1000001,3500001,0.88,0.88
"CW",1,"1C","750,000",3,4,3500001,5500001,1.253,1.24
"CW",1,"1C","750,000",3,4,5500001,10000001,1.68,1.64
"CW",1,"1C","750,000",3,4,10000001,2147483647,2.533,2.44
"CW",1,"1C","750,000",4,5,0,1000001,0.82,0.816
"CW",1,"1C","750,000",4,5,1000001,3500001,0.88,0.88
"CW",1,"1C","750,000",4,5,3500001,5500001,1.24,1.232
"CW",1,"1C","750,000",4,5,5500001,10000001,1.64,1.6
"CW",1,"1C","750,000",4,5,10000001,2147483647,2.44,2.336
"CW",1,"1C","750,000",5,10,0,1000001,0.816,0.848
"CW",1,"1C","750,000",5,10,1000001,3500001,0.88,0.856
"CW",1,"1C","750,000",5,10,3500001,5500001,1.232,1.152
"CW",1,"1C","750,000",5,10,5500001,10000001,1.6,1.456
"CW",1,"1C","750,000",5,10,10000001,2147483647,2.336,2.008
"CW",1,"1C","750,000",10,15,0,1000001,0.848,0.832
"CW",1,"1C","750,000",10,15,1000001,3500001,0.856,0.837
"CW",1,"1C","750,000",10,15,3500001,5500001,1.152,1.093
"CW",1,"1C","750,000",10,15,5500001,10000001,1.456,1.344
"CW",1,"1C","750,000",10,15,10000001,2147483647,2.008,1.787
"CW",1,"1C","750,000",15,20,0,1000001,0.832,0.812
"CW",1,"1C","750,000",15,20,1000001,3500001,0.837,0.82
"CW",1,"1C","750,000",15,20,3500001,5500001,1.093,1.048
"CW",1,"1C","750,000",15,20,5500001,10000001,1.344,1.264
"CW",1,"1C","750,000",15,20,10000001,2147483647,1.787,1.632
"CW",1,"1C","750,000",20,25,0,1000001,0.812,0
"CW",1,"1C","750,000",20,25,1000001,3500001,0.82,0.806
"CW",1,"1C","750,000",20,25,3500001,5500001,1.048,1.005
"CW",1,"1C","750,000",20,25,5500001,10000001,1.264,1.197
"CW",1,"1C","750,000",20,25,10000001,2147483647,1.632,1.51
"CW",1,"1C","750,000",25,30,0,1000001,0,0
"CW",1,"1C","750,000",25,30,1000001,3500001,0.806,0.8
"CW",1,"1C","750,000",25,30,3500001,5500001,1.005,0.973
"CW",1,"1C","750,000",25,30,5500001,10000001,1.197,1.141
"CW",1,"1C","750,000",25,30,10000001,2147483647,1.51,1.416
