"StateCode","TotalPropertyLimit_From","TotalPropertyLimit_ToLessThan","GroupNumber","Premium"
"CW",0,500000,1,15
"CW",500000,700000,1,36.11
"CW",700000,1000000,1,51.47
"CW",1000000,1500000,1,76.31
"CW",1500000,2000000,1,107.63
"CW",2000000,3000000,1,155.19
"CW",3000000,5000000,1,251.76
"CW",5000000,7000000,1,381.9
"CW",7000000,10000000,1,546.45
"CW",10000000,15000000,1,812.85
"CW",15000000,20000000,1,1149.45
"CW",20000000,25000001,1,1488.9
"CW",25000001,2147483647,1,0
"CW",0,500000,2,45
"CW",500000,700000,2,108.32
"CW",700000,1000000,2,154.4
"CW",1000000,1500000,2,228.92
"CW",1500000,2000000,2,322.88
"CW",2000000,3000000,2,465.57
"CW",3000000,5000000,2,755.28
"CW",5000000,7000000,2,1145.7
"CW",7000000,10000000,2,1639.35
"CW",10000000,15000000,2,2438.55
"CW",15000000,20000000,2,3448.35
"CW",20000000,25000001,2,4466.7
"CW",25000001,2147483647,2,0
"CW",0,500000,3,12.5
"CW",500000,700000,3,30.09
"CW",700000,1000000,3,42.89
"CW",1000000,1500000,3,63.59
"CW",1500000,2000000,3,89.69
"CW",2000000,3000000,3,129.33
"CW",3000000,5000000,3,209.8
"CW",5000000,7000000,3,318.25
"CW",7000000,10000000,3,455.38
"CW",10000000,15000000,3,677.38
"CW",15000000,20000000,3,957.88
"CW",20000000,25000001,3,1240.75
"CW",25000001,2147483647,3,0
"CW",0,500000,4,110
"CW",500000,700000,4,264.77
"CW",700000,1000000,4,377.41
"CW",1000000,1500000,4,559.57
"CW",1500000,2000000,4,789.25
"CW",2000000,3000000,4,1138.06
"CW",3000000,5000000,4,1846.24
"CW",5000000,7000000,4,2800.6
"CW",7000000,10000000,4,4007.3
"CW",10000000,15000000,4,5960.9
"CW",15000000,20000000,4,8429.3
"CW",20000000,25000001,4,10918.6
"CW",25000001,2147483647,4,0
"CW",0,500000,5,75
"CW",500000,700000,5,182.84
"CW",700000,1000000,5,265.49
"CW",1000000,1500000,5,399.3
"CW",1500000,2000000,5,568.05
"CW",2000000,3000000,5,825
"CW",3000000,5000000,5,1346.85
"CW",5000000,7000000,5,2050.5
