"StateCode","LCMStatCodeCalculation","Code"
"CW","1","001"
"CW","2","002"
"CW","3","003"
"CW","4","004"
"CW","5","005"
"CW","6","006"
"CW","7","007"
"CW","8","008"
"CW","9","009"
"CW","10","010"
"CW","11","011"
"CW","12","012"
"CW","13","013"
"CW","14","014"
"CW","15","015"
"CW","16","016"
"CW","17","017"
"CW","18","018"
"CW","19","019"
"CW","20","020"
"CW","21","021"
"CW","22","022"
"CW","23","023"
"CW","24","024"
"CW","25","025"
"CW","26","026"
"CW","27","027"
"CW","28","028"
"CW","29","029"
"CW","30","030"
"CW","31","031"
"CW","32","032"
"CW","33","033"
"CW","34","034"
"CW","35","035"
"CW","36","036"
"CW","37","037"
"CW","38","038"
"CW","39","039"
"CW","40","040"
"CW","41","041"
"CW","42","042"
"CW","43","043"
"CW","44","044"
"CW","45","045"
"CW","46","046"
"CW","47","047"
"CW","48","048"
"CW","49","049"
"CW","50","050"
"CW","51","051"
"CW","52","052"
"CW","53","053"
"CW","54","054"
"CW","55","055"
"CW","56","056"
"CW","57","057"
"CW","58","058"
"CW","59","059"
"CW","60","060"
"CW","61","061"
"CW","62","062"
"CW","63","063"
"CW","64","064"
"CW","65","065"
"CW","66","066"
"CW","67","067"
"CW","68","068"
"CW","69","069"
"CW","70","070"
"CW","71","071"
"CW","72","072"
"CW","73","073"
"CW","74","074"
"CW","75","075"
"CW","76","076"
"CW","77","077"
"CW","78","078"
"CW","79","079"
"CW","80","080"
"CW","81","081"
"CW","82","082"
"CW","83","083"
"CW","84","084"
"CW","85","085"
"CW","86","086"
"CW","87","087"
"CW","88","088"
"CW","89","089"
"CW","90","090"
"CW","91","091"
"CW","92","092"
"CW","93","093"
"CW","94","094"
"CW","95","095"
"CW","96","096"
"CW","97","097"
"CW","98","098"
"CW","99","099"
