"StateCode","CovTypePrsnlProp","Factor"
"CW","All Other Personal Property",1.15
"CW","All Personal Property",1.15
"CW","Contents Except Stock",1.15
"CW","Fixtures",1.15
"CW","Fixtures, Improvements and Alterations",1.15
"CW","Furniture",1.15
"CW","Machinery and Equipment",1.15
"CW","Non-Owned Trailers",1.15
"CW","Not Applicable",1
"CW","Personal Property in a Vault with an Approved Fire Rating",1.15
"CW","Personal Property of Others",1.15
"CW","Property of Others",1.15
"CW","Property Other than Categories Listed Above",1.15
"CW","Stock",1.25
"CW","Tenants Improvements and Betterments",1.15
"CW","Valuable Papers and Records - Other Than Electronic Data",1.15
