"StateCode","NumOfMortgages","MortgageholdersLimitOfInsPerMortg","Rate"
"CW","First 500","25,000",0.106
"CW","First 500","50,000",0.116
"CW","First 500","100,000",0.126
"CW","First 500","200,000",0.138
"CW","First 500","500,000",0.148
"CW","First 500","1,000,000",0.158
"CW","First 500","2,000,000",0.168
"CW","First 500","3,000,000",0.178
"CW","First 500","4,000,000",0.188
"CW","First 500","5,000,000",0.198
"CW","First 500","6,000,000",0.208
"CW","First 500","7,000,000",0.218
"CW","First 500","8,000,000",0.228
"CW","First 500","9,000,000",0.238
"CW","First 500","10,000,000",0.248
"CW","First 500","15,000,000",0.298
"CW","First 500","20,000,000",0.348
"CW","Next 500","25,000",0.085
"CW","Next 500","50,000",0.095
"CW","Next 500","100,000",0.106
"CW","Next 500","200,000",0.116
"CW","Next 500","500,000",0.126
"CW","Next 500","1,000,000",0.138
"CW","Next 500","2,000,000",0.148
"CW","Next 500","3,000,000",0.158
"CW","Next 500","4,000,000",0.168
"CW","Next 500","5,000,000",0.178
"CW","Next 500","6,000,000",0.188
"CW","Next 500","7,000,000",0.198
"CW","Next 500","8,000,000",0.208
"CW","Next 500","9,000,000",0.218
"CW","Next 500","10,000,000",0.228
"CW","Next 500","15,000,000",0.278
"CW","Next 500","20,000,000",0.328
"CW","Next 4,000","25,000",0.026
"CW","Next 4,000","50,000",0.032
"CW","Next 4,000","100,000",0.037
"CW","Next 4,000","200,000",0.042
"CW","Next 4,000","500,000",0.047
"CW","Next 4,000","1,000,000",0.053
"CW","Next 4,000","2,000,000",0.059
"CW","Next 4,000","3,000,000",0.065
"CW","Next 4,000","4,000,000",0.071
"CW","Next 4,000","5,000,000",0.077
"CW","Next 4,000","6,000,000",0.083
"CW","Next 4,000","7,000,000",0.089
"CW","Next 4,000","8,000,000",0.095
"CW","Next 4,000","9,000,000",0.101
"CW","Next 4,000","10,000,000",0.107
"CW","Next 4,000","15,000,000",0.137
"CW","Next 4,000","20,000,000",0.167
"CW","Next 10,000","25,000",0.01
"CW","Next 10,000","50,000",0.012
"CW","Next 10,000","100,000",0.015
"CW","Next 10,000","200,000",0.017
"CW","Next 10,000","500,000",0.019
"CW","Next 10,000","1,000,000",0.021
"CW","Next 10,000","2,000,000",0.023
"CW","Next 10,000","3,000,000",0.025
"CW","Next 10,000","4,000,000",0.027
"CW","Next 10,000","5,000,000",0.029
"CW","Next 10,000","6,000,000",0.031
"CW","Next 10,000","7,000,000",0.033
"CW","Next 10,000","8,000,000",0.035
"CW","Next 10,000","9,000,000",0.037
"CW","Next 10,000","10,000,000",0.039
"CW","Next 10,000","15,000,000",0.049
"CW","Next 10,000","20,000,000",0.059
"CW","Over 15,000","25,000",0.006
"CW","Over 15,000","50,000",0.007
"CW","Over 15,000","100,000",0.008
"CW","Over 15,000","200,000",0.008
"CW","Over 15,000","500,000",0.009
"CW","Over 15,000","1,000,000",0.01
"CW","Over 15,000","2,000,000",0.011
"CW","Over 15,000","3,000,000",0.012
"CW","Over 15,000","4,000,000",0.013
"CW","Over 15,000","5,000,000",0.014
"CW","Over 15,000","6,000,000",0.015
"CW","Over 15,000","7,000,000",0.016
"CW","Over 15,000","8,000,000",0.017
"CW","Over 15,000","9,000,000",0.018
"CW","Over 15,000","10,000,000",0.019
"CW","Over 15,000","15,000,000",0.024
"CW","Over 15,000","20,000,000",0.029
