"StateCode","OccupCategory","ClassCode","Severity"
"CW","Contractors","0074","Not Applicable"
"CW","Contractors","0075","Not Applicable"
"CW","Contractors","0076","Not Applicable"
"CW","Contractors","0077","Not Applicable"
"CW","Contractors","0078","Not Applicable"
"CW","Contractors","0079","Not Applicable"
"CW","Contractors","0196","Not Applicable"
"CW","Contractors","0197","Not Applicable"
"CW","Contractors","0198","Not Applicable"
"CW","Contractors","0300","Not Applicable"
"CW","Contractors","0311","Not Applicable"
"CW","Contractors","0312","Not Applicable"
"CW","Contractors","0313","Not Applicable"
"CW","Contractors","0321","Not Applicable"
"CW","Contractors","0322","Not Applicable"
"CW","Contractors","0323","Not Applicable"
"CW","Contractors","0331","Not Applicable"
"CW","Contractors","0332","Not Applicable"
"CW","Contractors","0333","Not Applicable"
"CW","Contractors","0341","Not Applicable"
"CW","Contractors","0342","Not Applicable"
"CW","Contractors","0343","Not Applicable"
"CW","Contractors","0431","Not Applicable"
"CW","Contractors","0432","Not Applicable"
"CW","Contractors","0433","Not Applicable"
"CW","Contractors","0434","Not Applicable"
"CW","Contractors","0511","Not Applicable"
"CW","Contractors","0512","Not Applicable"
"CW","Contractors","0520","Not Applicable"
"CW","Contractors","0531","Not Applicable"
"CW","Contractors","0532","Not Applicable"
"CW","Contractors","0533","Not Applicable"
"CW","Contractors","0534","Not Applicable"
"CW","Contractors","0541","Not Applicable"
"CW","Contractors","0542","Not Applicable"
"CW","Contractors","0545","Not Applicable"
"CW","Contractors","0550","Not Applicable"
"CW","Contractors","0561","Not Applicable"
"CW","Contractors","0562","Not Applicable"
"CW","Contractors","0563","Not Applicable"
"CW","Contractors","0564","Not Applicable"
"CW","Contractors","0565","Not Applicable"
"CW","Contractors","0566","Not Applicable"
"CW","Contractors","0567","Not Applicable"
"CW","Contractors","0570","Not Applicable"
"CW","Contractors","0580","Not Applicable"
"CW","Contractors","0581","Not Applicable"
"CW","Contractors","0582","Not Applicable"
"CW","Contractors","0701","Not Applicable"
"CW","Contractors","0702","Not Applicable"
"CW","Contractors","0742","Not Applicable"
"CW","Contractors","0743","Not Applicable"
"CW","Contractors","0744","Not Applicable"
"CW","Contractors","0745","Not Applicable"
"CW","Contractors","0746","Not Applicable"
"CW","Contractors","0747","Not Applicable"
"CW","Contractors","0755","Not Applicable"
"CW","Contractors","0756","Not Applicable"
"CW","Contractors","0757","Not Applicable"
"CW","Contractors","0831","Not Applicable"
"CW","Contractors","0832","Not Applicable"
"CW","Contractors","0833","Not Applicable"
"CW","Contractors","0834","Not Applicable"
"CW","Contractors","0841","Not Applicable"
"CW","Contractors","0843","Not Applicable"
"CW","Contractors","0844","Not Applicable"
"CW","Contractors","0845","Not Applicable"
"CW","Contractors","0846","Not Applicable"
"CW","Contractors","0851","Not Applicable"
"CW","Contractors","0852","Not Applicable"
"CW","Contractors","0900","Not Applicable"
"CW","Contractors","0911","Not Applicable"
"CW","Contractors","0912","Not Applicable"
"CW","Contractors","0913","Not Applicable"
"CW","Contractors","0921","Not Applicable"
"CW","Contractors","0922","Not Applicable"
"CW","Contractors","0923","Not Applicable"
"CW","Contractors","0931","Not Applicable"
"CW","Contractors","0932","Not Applicable"
"CW","Contractors","0933","Not Applicable"
"CW","Contractors","0934","Not Applicable"
"CW","Contractors","0940","Not Applicable"
"CW","Contractors","0951","Not Applicable"
"CW","Contractors","0952","Not Applicable"
"CW","Contractors","1000","Not Applicable"
"CW","Contractors","1051","Not Applicable"
"CW","Contractors","1052","Not Applicable"
"CW","Contractors","1070","Not Applicable"
"CW","Contractors","1150","Not Applicable"
"CW","Contractors","1211","Not Applicable"
"CW","Contractors","1212","Not Applicable"
"CW","Contractors","1213","Not Applicable"
"CW","Contractors","1220","Not Applicable"
"CW","Contractors","1230","Not Applicable"
"CW","Contractors","1251","Not Applicable"
"CW","Contractors","1252","Not Applicable"
"CW","Contractors","1300","Not Applicable"
"CW","Contractors","1400","Not Applicable"
"CW","Contractors","1450","Not Applicable"
"CW","Contractors","1501","Not Applicable"
"CW","Contractors","1502","Not Applicable"
"CW","Contractors","1550","Not Applicable"
"CW","Contractors","1610","Not Applicable"
"CW","Contractors","1650","Not Applicable"
"CW","Contractors","1700","Not Applicable"
"CW","Contractors","1751","Not Applicable"
"CW","Contractors","1752","Not Applicable"
"CW","Contractors","2000","Not Applicable"
"CW","Contractors","2059","Not Applicable"
"CW","Contractors","2150","Not Applicable"
"CW","Contractors","2200","Not Applicable"
"CW","Contractors","2250","Not Applicable"
"CW","Contractors","2300","Not Applicable"
"CW","Contractors","2350","Not Applicable"
"CW","Contractors","2400","Not Applicable"
"CW","Contractors","2459","Not Applicable"
"CW","Contractors","2550","Not Applicable"
"CW","Contractors","2600","Not Applicable"
"CW","Contractors","2750","Not Applicable"
"CW","Contractors","2800","Not Applicable"
"CW","Contractors","2805","Not Applicable"
"CW","Contractors","3009","Not Applicable"
"CW","Contractors","3409","Not Applicable"
"CW","Contractors","3809","Not Applicable"
"CW","Contractors","3959","Not Applicable"
"CW","Contractors","4400","Not Applicable"
"CW","Contractors","4450","Not Applicable"
"CW","Contractors","4809","Not Applicable"
