"StateCode","OccupCategory","ClassCode","OccupancyGroup","GroupNumber"
"CW","Industrial and Processing","0074","All other industrial and processing risks",7
"CW","Industrial and Processing","0075","All other industrial and processing risks",7
"CW","Industrial and Processing","0076","All other industrial and processing risks",7
"CW","Industrial and Processing","0077","All other industrial and processing risks",7
"CW","Industrial and Processing","0078","All other industrial and processing risks",7
"CW","Industrial and Processing","0079","All other industrial and processing risks",7
"CW","Industrial and Processing","0196","All other industrial and processing risks",7
"CW","Industrial and Processing","0197","All other industrial and processing risks",7
"CW","Industrial and Processing","0198","All other industrial and processing risks",7
"CW","Industrial and Processing","0300","All other industrial and processing risks",7
"CW","Industrial and Processing","0311","All other industrial and processing risks",7
"CW","Industrial and Processing","0312","All other industrial and processing risks",7
"CW","Industrial and Processing","0313","All other industrial and processing risks",7
"CW","Industrial and Processing","0321","All other industrial and processing risks",7
"CW","Industrial and Processing","0322","All other industrial and processing risks",7
"CW","Industrial and Processing","0323","All other industrial and processing risks",7
"CW","Industrial and Processing","0331","All other industrial and processing risks",7
"CW","Industrial and Processing","0332","All other industrial and processing risks",7
"CW","Industrial and Processing","0333","All other industrial and processing risks",7
"CW","Industrial and Processing","0341","All other industrial and processing risks",7
"CW","Industrial and Processing","0342","All other industrial and processing risks",7
"CW","Industrial and Processing","0343","All other industrial and processing risks",7
"CW","Industrial and Processing","0431","All other industrial and processing risks",7
"CW","Industrial and Processing","0432","All other industrial and processing risks",7
"CW","Industrial and Processing","0433","All other industrial and processing risks",7
"CW","Industrial and Processing","0434","All other industrial and processing risks",7
"CW","Industrial and Processing","0511","All other industrial and processing risks",7
"CW","Industrial and Processing","0512","All other industrial and processing risks",7
"CW","Industrial and Processing","0520","All other industrial and processing risks",7
"CW","Industrial and Processing","0531","All other industrial and processing risks",7
"CW","Industrial and Processing","0532","All other industrial and processing risks",7
"CW","Industrial and Processing","0533","All other industrial and processing risks",7
"CW","Industrial and Processing","0534","All other industrial and processing risks",7
"CW","Industrial and Processing","0541","All other industrial and processing risks",7
"CW","Industrial and Processing","0542","All other industrial and processing risks",7
"CW","Industrial and Processing","0545","All other industrial and processing risks",7
"CW","Industrial and Processing","0550","All other industrial and processing risks",7
"CW","Industrial and Processing","0561","All other industrial and processing risks",7
"CW","Industrial and Processing","0562","All other industrial and processing risks",7
"CW","Industrial and Processing","0563","All other industrial and processing risks",7
"CW","Industrial and Processing","0564","All other industrial and processing risks",7
"CW","Industrial and Processing","0565","All other industrial and processing risks",7
"CW","Industrial and Processing","0566","All other industrial and processing risks",7
"CW","Industrial and Processing","0567","All other industrial and processing risks",7
"CW","Industrial and Processing","0570","All other industrial and processing risks",7
"CW","Industrial and Processing","0580","All other industrial and processing risks",7
"CW","Industrial and Processing","0581","All other industrial and processing risks",7
"CW","Industrial and Processing","0582","All other industrial and processing risks",7
"CW","Industrial and Processing","0701","All other industrial and processing risks",7
"CW","Industrial and Processing","0702","All other industrial and processing risks",7
"CW","Industrial and Processing","0742","All other industrial and processing risks",7
"CW","Industrial and Processing","0743","All other industrial and processing risks",7
"CW","Industrial and Processing","0744","All other industrial and processing risks",7
"CW","Industrial and Processing","0745","All other industrial and processing risks",7
"CW","Industrial and Processing","0746","All other industrial and processing risks",7
"CW","Industrial and Processing","0747","All other industrial and processing risks",7
"CW","Industrial and Processing","0755","All other industrial and processing risks",7
"CW","Industrial and Processing","0756","All other industrial and processing risks",7
"CW","Industrial and Processing","0757","All other industrial and processing risks",7
"CW","Industrial and Processing","0831","All other industrial and processing risks",7
"CW","Industrial and Processing","0832","All other industrial and processing risks",7
"CW","Industrial and Processing","0833","All other industrial and processing risks",7
"CW","Industrial and Processing","0834","All other industrial and processing risks",7
"CW","Industrial and Processing","0841","All other industrial and processing risks",7
"CW","Industrial and Processing","0843","All other industrial and processing risks",7
"CW","Industrial and Processing","0844","All other industrial and processing risks",7
"CW","Industrial and Processing","0845","All other industrial and processing risks",7
"CW","Industrial and Processing","0846","All other industrial and processing risks",7
"CW","Industrial and Processing","0851","All other industrial and processing risks",7
"CW","Industrial and Processing","0852","All other industrial and processing risks",7
"CW","Industrial and Processing","0900","All other industrial and processing risks",7
"CW","Industrial and Processing","0911","All other industrial and processing risks",7
"CW","Industrial and Processing","0912","All other industrial and processing risks",7
"CW","Industrial and Processing","0913","All other industrial and processing risks",7
"CW","Industrial and Processing","0921","All other industrial and processing risks",7
"CW","Industrial and Processing","0922","All other industrial and processing risks",7
"CW","Industrial and Processing","0923","All other industrial and processing risks",7
"CW","Industrial and Processing","0931","All other industrial and processing risks",7
"CW","Industrial and Processing","0932","All other industrial and processing risks",7
"CW","Industrial and Processing","0933","All other industrial and processing risks",7
"CW","Industrial and Processing","0934","All other industrial and processing risks",7
"CW","Industrial and Processing","0940","All other industrial and processing risks",7
"CW","Industrial and Processing","0951","All other industrial and processing risks",7
"CW","Industrial and Processing","0952","All other industrial and processing risks",7
"CW","Industrial and Processing","1000","All other industrial and processing risks",7
