"StateCode","VandalismExcluded","SprinklerLeakageExcluded","WindHailExcluded","TheftExcluded","Code"
"CW","Yes","Yes","Yes","Yes","21"
"CW","Yes","Yes","Yes","No","22"
"CW","Yes","Yes","No","Yes","23"
"CW","Yes","Yes","No","No","24"
"CW","Yes","No","Yes","Yes","25"
"CW","Yes","No","Yes","No","26"
"CW","Yes","No","No","Yes","27"
"CW","Yes","No","No","No","28"
"CW","No","Yes","Yes","Yes","29"
"CW","No","Yes","Yes","No","30"
"CW","No","Yes","No","Yes","31"
"CW","No","Yes","No","No","32"
"CW","No","No","Yes","Yes","33"
"CW","No","No","Yes","No","34"
"CW","No","No","No","Yes","35"
"CW","No","No","No","No","36"
