"StateCode","Deductible","InsuranceToValueLevelPercentage_From","InsuranceToValueLevelPercentage_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW","500,000",1,2,0,750001,0.48,0.44
"CW","500,000",1,2,750001,1000001,0.56,0.56
"CW","500,000",1,2,1000001,3500001,1.12,1.08
"CW","500,000",1,2,3500001,5500001,1.6,1.56
"CW","500,000",1,2,5500001,10000001,2,1.96
"CW","500,000",1,2,10000001,2147483647,2.72,2.6
"CW","500,000",2,3,0,750001,0.44,0.453
"CW","500,000",2,3,750001,1000001,0.56,0.56
"CW","500,000",2,3,1000001,3500001,1.08,1.067
"CW","500,000",2,3,3500001,5500001,1.56,1.547
"CW","500,000",2,3,5500001,10000001,1.96,1.92
"CW","500,000",2,3,10000001,2147483647,2.6,2.507
"CW","500,000",3,4,0,750001,0.453,0.44
"CW","500,000",3,4,750001,1000001,0.56,0.54
"CW","500,000",3,4,1000001,3500001,1.067,1.04
"CW","500,000",3,4,3500001,5500001,1.547,1.52
"CW","500,000",3,4,5500001,10000001,1.92,1.88
"CW","500,000",3,4,10000001,2147483647,2.507,2.42
"CW","500,000",4,5,0,750001,0.44,0.448
"CW","500,000",4,5,750001,1000001,0.54,0.544
"CW","500,000",4,5,1000001,3500001,1.04,1.04
"CW","500,000",4,5,3500001,5500001,1.52,1.488
"CW","500,000",4,5,5500001,10000001,1.88,1.84
"CW","500,000",4,5,10000001,2147483647,2.42,2.336
"CW","500,000",5,10,0,750001,0.448,0.448
"CW","500,000",5,10,750001,1000001,0.544,0.528
"CW","500,000",5,10,1000001,3500001,1.04,0.968
"CW","500,000",5,10,3500001,5500001,1.488,1.36
"CW","500,000",5,10,5500001,10000001,1.84,1.648
"CW","500,000",5,10,10000001,2147483647,2.336,2.04
"CW","500,000",10,15,0,750001,0.448,0.448
"CW","500,000",10,15,750001,1000001,0.528,0.512
"CW","500,000",10,15,1000001,3500001,0.968,0.917
"CW","500,000",10,15,3500001,5500001,1.36,1.264
"CW","500,000",10,15,5500001,10000001,1.648,1.509
"CW","500,000",10,15,10000001,2147483647,2.04,1.829
"CW","500,000",15,20,0,750001,0.448,0.468
"CW","500,000",15,20,750001,1000001,0.512,0.5
"CW","500,000",15,20,1000001,3500001,0.917,0.872
"CW","500,000",15,20,3500001,5500001,1.264,1.18
"CW","500,000",15,20,5500001,10000001,1.509,1.396
"CW","500,000",15,20,10000001,2147483647,1.829,1.668
"CW","500,000",20,25,0,750001,0.468,0.454
"CW","500,000",20,25,750001,1000001,0.5,0.49
"CW","500,000",20,25,1000001,3500001,0.872,0.832
"CW","500,000",20,25,3500001,5500001,1.18,1.11
"CW","500,000",20,25,5500001,10000001,1.396,1.302
"CW","500,000",20,25,10000001,2147483647,1.668,1.539
"CW","500,000",25,30,0,750001,0.454,0.461
"CW","500,000",25,30,750001,1000001,0.49,0.499
"CW","500,000",25,30,1000001,3500001,0.832,0.797
"CW","500,000",25,30,3500001,5500001,1.11,1.051
"CW","500,000",25,30,5500001,10000001,1.302,1.221
"CW","500,000",25,30,10000001,2147483647,1.539,1.432
"CW","500,000",30,35,0,750001,0.461,0.448
"CW","500,000",30,35,750001,1000001,0.499,0.491
"CW","500,000",30,35,1000001,3500001,0.797,0.766
"CW","500,000",30,35,3500001,5500001,1.051,0.999
"CW","500,000",30,35,5500001,10000001,1.221,1.154
"CW","500,000",30,35,10000001,2147483647,1.432,1.344
"CW","500,000",35,40,0,750001,0.448,0
"CW","500,000",35,40,750001,1000001,0.491,0.486
"CW","500,000",35,40,1000001,3500001,0.766,0.736
"CW","500,000",35,40,3500001,5500001,0.999,0.952
"CW","500,000",35,40,5500001,10000001,1.154,1.094
"CW","500,000",35,40,10000001,2147483647,1.344,1.266
"CW","500,000",40,45,0,750001,0,0
"CW","500,000",40,45,750001,1000001,0.486,0.492
"CW","500,000",40,45,1000001,3500001,0.736,0.711
"CW","500,000",40,45,3500001,5500001,0.952,0.912
"CW","500,000",40,45,5500001,10000001,1.094,1.042
"CW","500,000",40,45,10000001,2147483647,1.266,1.2
"CW","500,000",45,50,0,750001,0,0
"CW","500,000",45,50,750001,1000001,0.492,0.498
"CW","500,000",45,50,1000001,3500001,0.711,0.69
"CW","500,000",45,50,3500001,5500001,0.912,0.875
"CW","500,000",45,50,5500001,10000001,1.042,0.997
"CW","500,000",45,50,10000001,2147483647,1.2,1.141
"CW","500,000",50,55,0,750001,0,0
"CW","500,000",50,55,750001,1000001,0.498,0
"CW","500,000",50,55,1000001,3500001,0.69,0.683
"CW","500,000",50,55,3500001,5500001,0.875,0.842
"CW","500,000",50,55,5500001,10000001,0.997,0.956
