"StateCode","ProtectionClass","ConstructionCode","Factor"
"CW","1",1,0.88
"CW","2",1,0.92
"CW","3",1,0.96
"CW","4",1,0.98
"CW","5",1,1
"CW","6",1,1.06
"CW","7",1,1.18
"CW","8",1,1.3
"CW","8B",1,1.35
"CW","9",1,1.42
"CW","10",1,1.72
"CW","1X",1,1.14
"CW","2X",1,1.14
"CW","3X",1,1.14
"CW","4X",1,1.14
"CW","5X",1,1.14
"CW","6X",1,1.35
"CW","7X",1,1.35
"CW","8X",1,1.42
"CW","1Y",1,1.14
"CW","2Y",1,1.14
"CW","3Y",1,1.14
"CW","4Y",1,1.14
"CW","5Y",1,1.14
"CW","6Y",1,1.35
"CW","7Y",1,1.35
"CW","8Y",1,1.35
"CW","10W",1,1.63
"CW","1",2,0.88
"CW","2",2,0.92
"CW","3",2,0.96
"CW","4",2,0.98
"CW","5",2,1
"CW","6",2,1.06
"CW","7",2,1.18
"CW","8",2,1.3
"CW","8B",2,1.35
"CW","9",2,1.42
"CW","10",2,1.72
"CW","1X",2,1.14
"CW","2X",2,1.14
"CW","3X",2,1.14
"CW","4X",2,1.14
"CW","5X",2,1.14
"CW","6X",2,1.35
"CW","7X",2,1.35
"CW","8X",2,1.42
"CW","1Y",2,1.14
"CW","2Y",2,1.14
"CW","3Y",2,1.14
"CW","4Y",2,1.14
"CW","5Y",2,1.14
"CW","6Y",2,1.35
"CW","7Y",2,1.35
"CW","8Y",2,1.35
"CW","10W",2,1.63
"CW","1",3,0.88
"CW","2",3,0.92
"CW","3",3,0.96
"CW","4",3,0.98
"CW","5",3,1
"CW","6",3,1.06
"CW","7",3,1.18
"CW","8",3,1.3
"CW","8B",3,1.35
"CW","9",3,1.42
"CW","10",3,1.72
"CW","1X",3,1.14
"CW","2X",3,1.14
"CW","3X",3,1.14
"CW","4X",3,1.14
"CW","5X",3,1.14
"CW","6X",3,1.35
"CW","7X",3,1.35
"CW","8X",3,1.42
"CW","1Y",3,1.14
"CW","2Y",3,1.14
"CW","3Y",3,1.14
"CW","4Y",3,1.14
"CW","5Y",3,1.14
"CW","6Y",3,1.35
"CW","7Y",3,1.35
"CW","8Y",3,1.35
"CW","10W",3,1.63
"CW","1",4,0.9
"CW","2",4,0.94
"CW","3",4,0.97
"CW","4",4,0.98
"CW","5",4,1
"CW","6",4,1.05
"CW","7",4,1.14
"CW","8",4,1.24
"CW","8B",4,1.28
"CW","9",4,1.34
"CW","10",4,1.58
"CW","1X",4,1.09
"CW","2X",4,1.09
"CW","3X",4,1.09
"CW","4X",4,1.09
"CW","5X",4,1.09
"CW","6X",4,1.28
"CW","7X",4,1.28
"CW","8X",4,1.34
"CW","1Y",4,1.09
"CW","2Y",4,1.09
"CW","3Y",4,1.09
"CW","4Y",4,1.09
"CW","5Y",4,1.09
"CW","6Y",4,1.28
"CW","7Y",4,1.28
"CW","8Y",4,1.28
"CW","10W",4,1.51
"CW","1",5,0.9
"CW","2",5,0.94
"CW","3",5,0.97
"CW","4",5,0.98
"CW","5",5,1
"CW","6",5,1.05
"CW","7",5,1.14
"CW","8",5,1.24
"CW","8B",5,1.28
"CW","9",5,1.34
"CW","10",5,1.58
"CW","1X",5,1.09
"CW","2X",5,1.09
"CW","3X",5,1.09
"CW","4X",5,1.09
"CW","5X",5,1.09
"CW","6X",5,1.28
"CW","7X",5,1.28
"CW","8X",5,1.34
"CW","1Y",5,1.09
"CW","2Y",5,1.09
"CW","3Y",5,1.09
"CW","4Y",5,1.09
"CW","5Y",5,1.09
"CW","6Y",5,1.28
"CW","7Y",5,1.28
"CW","8Y",5,1.28
"CW","10W",5,1.51
"CW","1",6,0.9
"CW","2",6,0.94
"CW","3",6,0.97
"CW","4",6,0.98
"CW","5",6,1
"CW","6",6,1.05
"CW","7",6,1.14
"CW","8",6,1.24
"CW","8B",6,1.28
"CW","9",6,1.34
"CW","10",6,1.58
"CW","1X",6,1.09
"CW","2X",6,1.09
"CW","3X",6,1.09
"CW","4X",6,1.09
"CW","5X",6,1.09
"CW","6X",6,1.28
"CW","7X",6,1.28
"CW","8X",6,1.34
"CW","1Y",6,1.09
"CW","2Y",6,1.09
"CW","3Y",6,1.09
"CW","4Y",6,1.09
"CW","5Y",6,1.09
"CW","6Y",6,1.28
"CW","7Y",6,1.28
"CW","8Y",6,1.28
"CW","10W",6,1.51
