"StateCode","RateModifier","Code"
"CW",1,"001"
"CW",2,"002"
"CW",3,"003"
"CW",4,"004"
"CW",5,"005"
"CW",6,"006"
"CW",7,"007"
"CW",8,"008"
"CW",9,"009"
"CW",10,"010"
"CW",11,"011"
"CW",12,"012"
"CW",13,"013"
"CW",14,"014"
"CW",15,"015"
"CW",16,"016"
"CW",17,"017"
"CW",18,"018"
"CW",19,"019"
"CW",20,"020"
"CW",21,"021"
"CW",22,"022"
"CW",23,"023"
"CW",24,"024"
"CW",25,"025"
"CW",26,"026"
"CW",27,"027"
"CW",28,"028"
"CW",29,"029"
"CW",30,"030"
"CW",31,"031"
"CW",32,"032"
"CW",33,"033"
"CW",34,"034"
"CW",35,"035"
"CW",36,"036"
"CW",37,"037"
"CW",38,"038"
"CW",39,"039"
"CW",40,"040"
"CW",41,"041"
"CW",42,"042"
"CW",43,"043"
"CW",44,"044"
"CW",45,"045"
"CW",46,"046"
"CW",47,"047"
"CW",48,"048"
"CW",49,"049"
"CW",50,"050"
"CW",51,"051"
"CW",52,"052"
"CW",53,"053"
"CW",54,"054"
"CW",55,"055"
"CW",56,"056"
"CW",57,"057"
"CW",58,"058"
"CW",59,"059"
"CW",60,"060"
"CW",61,"061"
"CW",62,"062"
"CW",63,"063"
"CW",64,"064"
"CW",65,"065"
"CW",66,"066"
"CW",67,"067"
"CW",68,"068"
"CW",69,"069"
"CW",70,"070"
"CW",71,"071"
"CW",72,"072"
"CW",73,"073"
"CW",74,"074"
"CW",75,"075"
"CW",76,"076"
"CW",77,"077"
"CW",78,"078"
"CW",79,"079"
"CW",80,"080"
"CW",81,"081"
"CW",82,"082"
"CW",83,"083"
"CW",84,"084"
"CW",85,"085"
"CW",86,"086"
"CW",87,"087"
"CW",88,"088"
"CW",89,"089"
"CW",90,"090"
"CW",91,"091"
"CW",92,"092"
"CW",93,"093"
"CW",94,"094"
"CW",95,"095"
"CW",96,"096"
"CW",97,"097"
"CW",98,"098"
"CW",99,"099"
"CW",100,"100"
"CW",101,"101"
"CW",102,"102"
"CW",103,"103"
"CW",104,"104"
"CW",105,"105"
"CW",106,"106"
"CW",107,"107"
"CW",108,"108"
"CW",109,"109"
"CW",110,"110"
"CW",111,"111"
"CW",112,"112"
"CW",113,"113"
"CW",114,"114"
"CW",115,"115"
"CW",116,"116"
"CW",117,"117"
"CW",118,"118"
"CW",119,"119"
"CW",120,"120"
"CW",121,"121"
"CW",122,"122"
"CW",123,"123"
"CW",124,"124"
"CW",125,"125"
"CW",126,"126"
"CW",127,"127"
"CW",128,"128"
"CW",129,"129"
"CW",130,"130"
"CW",131,"131"
"CW",132,"132"
"CW",133,"133"
"CW",134,"134"
"CW",135,"135"
"CW",136,"136"
"CW",137,"137"
"CW",138,"138"
"CW",139,"139"
"CW",140,"140"
"CW",141,"141"
"CW",142,"142"
"CW",143,"143"
"CW",144,"144"
"CW",145,"145"
"CW",146,"146"
"CW",147,"147"
"CW",148,"148"
"CW",149,"149"
"CW",150,"150"
"CW",151,"151"
"CW",152,"152"
"CW",153,"153"
"CW",154,"154"
"CW",155,"155"
"CW",156,"156"
"CW",157,"157"
"CW",158,"158"
"CW",159,"159"
"CW",160,"160"
"CW",161,"161"
"CW",162,"162"
"CW",163,"163"
"CW",164,"164"
"CW",165,"165"
"CW",166,"166"
"CW",167,"167"
"CW",168,"168"
"CW",169,"169"
"CW",170,"170"
"CW",171,"171"
"CW",172,"172"
"CW",173,"173"
"CW",174,"174"
"CW",175,"175"
"CW",176,"176"
"CW",177,"177"
"CW",178,"178"
"CW",179,"179"
"CW",180,"180"
"CW",181,"181"
"CW",182,"182"
"CW",183,"183"
"CW",184,"184"
"CW",185,"185"
"CW",186,"186"
"CW",187,"187"
"CW",188,"188"
"CW",189,"189"
"CW",190,"190"
"CW",191,"191"
"CW",192,"192"
"CW",193,"193"
"CW",194,"194"
"CW",195,"195"
"CW",196,"196"
"CW",197,"197"
"CW",198,"198"
"CW",199,"199"
