"StateCode","CovTypeBusnIncome","CoinsuranceBusnIncome","Factor"
"CW","Business Income With Extra Expense","50%",1.15
"CW","Business Income With Extra Expense","60%",0.99
"CW","Business Income With Extra Expense","70%",0.92
"CW","Business Income With Extra Expense","80%",0.88
"CW","Business Income With Extra Expense","90%",0.81
"CW","Business Income With Extra Expense","100%",0.77
"CW","Business Income With Extra Expense","125%",0.69
"CW","Business Income With Extra Expense","No Coinsurance",0
"CW","Business Income Without Extra Expense","50%",1.07
"CW","Business Income Without Extra Expense","60%",0.92
"CW","Business Income Without Extra Expense","70%",0.84
"CW","Business Income Without Extra Expense","80%",0.81
"CW","Business Income Without Extra Expense","90%",0.77
"CW","Business Income Without Extra Expense","100%",0.69
"CW","Business Income Without Extra Expense","125%",0.61
"CW","Business Income Without Extra Expense","No Coinsurance",0
