"StateCode","SenseAndAvoidTechnology","ReturnToBaseTechnologyOrHoverCapability","GeoFencingTechnologyToAvoidRestrictedAirspace","EncryptedCommunications","Code"
"CW","Yes","Yes","Yes","Yes","1"
"CW","Yes","Yes","Yes","No","2"
"CW","Yes","Yes","No","Yes","3"
"CW","Yes","Yes","No","No","4"
"CW","Yes","No","Yes","Yes","5"
"CW","Yes","No","Yes","No","6"
"CW","Yes","No","No","Yes","7"
"CW","Yes","No","No","No","8"
"CW","No","Yes","Yes","Yes","A"
"CW","No","Yes","Yes","No","B"
"CW","No","Yes","No","Yes","C"
"CW","No","Yes","No","No","D"
"CW","No","No","Yes","Yes","E"
"CW","No","No","Yes","No","F"
"CW","No","No","No","Yes","G"
"CW","No","No","No","No","H"
