"StateCode","SpecialVandalismStatus","CoinsuranceVacancyPermit","Rate"
"CW","Special Class","Not Applicable",0.831
"CW","Special Class","50%",0.831
"CW","Special Class","60%",0.831
"CW","Special Class","70%",0.831
"CW","Special Class","80%",0.562
"CW","Special Class","90%",0.562
"CW","Special Class","100%",0.562
"CW","Special Class","None",0.831
"CW","All Other","Not Applicable",0.022
"CW","All Other","50%",0.022
"CW","All Other","60%",0.022
"CW","All Other","70%",0.022
"CW","All Other","80%",0.022
"CW","All Other","90%",0.022
"CW","All Other","100%",0.022
"CW","All Other","None",0.022
