"StateCode","ClassCode","Factor"
"CW","0074",0.98
"CW","0075",0.98
"CW","0076",0.98
"CW","0077",0.98
"CW","0078",0.98
"CW","0079",0.98
"CW","0196",0.95
"CW","0197",0.95
"CW","0198",0.95
"CW","0300",0.98
"CW","0311",0.98
"CW","0312",0.98
"CW","0313",0.98
"CW","0321",0.98
"CW","0322",0.98
"CW","0323",0.98
"CW","0331",0.98
"CW","0332",0.98
"CW","0333",0.98
"CW","0341",0.98
"CW","0342",0.98
"CW","0343",0.98
"CW","0431",0.98
"CW","0432",0.98
"CW","0433",0.98
"CW","0434",0.98
"CW","0511",0.98
"CW","0512",0.98
"CW","0520",0.98
"CW","0531",0.98
"CW","0532",0.98
"CW","0533",0.98
"CW","0534",0.98
"CW","0541",0.98
"CW","0542",0.98
"CW","0545",0.98
"CW","0550",0.98
"CW","0561",0.98
"CW","0562",0.98
"CW","0563",0.98
"CW","0564",0.98
"CW","0565",0.98
"CW","0566",0.98
"CW","0567",0.98
"CW","0570",0.98
"CW","0580",0.95
"CW","0581",0.98
"CW","0582",0.98
"CW","0701",0.95
"CW","0702",0.95
"CW","0742",0.98
"CW","0743",0.98
"CW","0744",0.98
"CW","0745",0.98
"CW","0746",0.98
"CW","0747",0.98
"CW","0755",0.95
"CW","0756",0.95
"CW","0757",0.95
"CW","0831",0.98
"CW","0832",0.98
"CW","0833",0.85
"CW","0834",0.98
"CW","0841",0.95
"CW","0843",0.95
"CW","0844",0.95
"CW","0845",0.98
"CW","0846",0.95
"CW","0851",0.98
"CW","0852",0.98
"CW","0900",0.95
"CW","0911",0.98
"CW","0912",0.98
"CW","0913",0.95
"CW","0921",0.98
"CW","0922",0.98
"CW","0923",0.98
"CW","0931",0.85
"CW","0932",0.98
"CW","0933",0.98
"CW","0934",0.95
"CW","0940",0.98
"CW","0951",0.95
"CW","0952",0.95
"CW","1000",0.95
"CW","1051",0.95
"CW","1052",0.95
"CW","1070",0.95
"CW","1150",0.95
"CW","1160",0.98
"CW","1165",0.98
"CW","1170",0.98
"CW","1180",0.85
"CW","1185",0.85
"CW","1190",0.95
"CW","1200",0.98
"CW","1211",0.98
"CW","1212",0.98
"CW","1213",0.98
"CW","1220",0.98
"CW","1230",0.98
"CW","1251",0.98
"CW","1252",0.98
"CW","1300",0.98
"CW","1400",0.98
"CW","1450",0.98
"CW","1501",0.98
"CW","1502",0.98
"CW","1550",0.98
"CW","1610",0.98
"CW","1650",0.95
"CW","1700",0.98
"CW","1751",0.98
"CW","1752",0.98
"CW","2000",0.98
"CW","2059",0.98
"CW","2150",0.98
"CW","2200",0.98
"CW","2250",0.98
"CW","2300",0.98
"CW","2350",0.98
"CW","2400",0.98
"CW","2459",0.98
"CW","2550",0.98
"CW","2600",0.98
"CW","2750",0.98
"CW","2800",0.98
"CW","2805",0.98
"CW","3009",0.98
"CW","3409",0.98
"CW","3809",0.98
"CW","3959",0.98
"CW","4400",0.98
"CW","4450",0.98
"CW","4809",0.98
"CW","5000",0.98
"CW","5050",0.98
"CW","5100",0.98
"CW","5500",0.98
"CW","5759",0.98
"CW","6009",0.98
"CW","6210",0.98
"CW","6250",0.98
"CW","6810",0.98
"CW","6850",0.98
"CW","6900",0.98
"CW","7300",0.98
"CW","7350",0.98
"CW","7409",0.98
"CW","7500",0.98
"CW","7600",0.98
"CW","7700",0.98
