"StateCode","ClassCode","Status"
"CW","0074","All Other"
"CW","0075","All Other"
"CW","0076","All Other"
"CW","0077","All Other"
"CW","0078","All Other"
"CW","0079","All Other"
"CW","0196","Special Class"
"CW","0197","Special Class"
"CW","0198","Special Class"
"CW","0300","All Other"
"CW","0311","All Other"
"CW","0312","All Other"
"CW","0313","All Other"
"CW","0321","All Other"
"CW","0322","All Other"
"CW","0323","All Other"
"CW","0331","All Other"
"CW","0332","All Other"
"CW","0333","All Other"
"CW","0341","All Other"
"CW","0342","All Other"
"CW","0343","All Other"
"CW","0431","All Other"
"CW","0432","All Other"
"CW","0433","All Other"
"CW","0434","All Other"
"CW","0511","All Other"
"CW","0512","All Other"
"CW","0520","All Other"
"CW","0531","All Other"
"CW","0532","All Other"
"CW","0533","All Other"
"CW","0534","All Other"
"CW","0541","All Other"
"CW","0542","All Other"
"CW","0545","All Other"
"CW","0550","All Other"
"CW","0561","All Other"
"CW","0562","All Other"
"CW","0563","All Other"
"CW","0564","All Other"
"CW","0565","All Other"
"CW","0566","All Other"
"CW","0567","All Other"
"CW","0570","All Other"
"CW","0580","Special Class"
"CW","0581","All Other"
"CW","0582","All Other"
"CW","0701","Special Class"
"CW","0702","Special Class"
"CW","0742","All Other"
"CW","0743","All Other"
"CW","0744","All Other"
"CW","0745","All Other"
"CW","0746","All Other"
"CW","0747","All Other"
"CW","0755","Special Class"
"CW","0756","Special Class"
"CW","0757","Special Class"
"CW","0831","All Other"
"CW","0832","All Other"
"CW","0833","Special Class"
"CW","0834","Special Class"
"CW","0841","Special Class"
"CW","0843","Special Class"
"CW","0844","Special Class"
"CW","0845","All Other"
"CW","0846","Special Class"
"CW","0851","All Other"
"CW","0852","All Other"
"CW","0900","Special Class"
"CW","0911","All Other"
"CW","0912","All Other"
"CW","0913","Special Class"
"CW","0921","All Other"
"CW","0922","All Other"
"CW","0923","All Other"
"CW","0931","Special Class"
"CW","0932","All Other"
"CW","0933","All Other"
"CW","0934","All Other"
"CW","0940","All Other"
"CW","0951","Special Class"
"CW","0952","Special Class"
"CW","1000","Special Class"
"CW","1051","Special Class"
"CW","1052","Special Class"
"CW","1070","Special Class"
"CW","1150","Special Class"
"CW","1180","Special Class"
"CW","1185","Special Class"
"CW","1190","Special Class"
"CW","1211","All Other"
"CW","1212","All Other"
"CW","1213","All Other"
"CW","1220","All Other"
"CW","1230","All Other"
"CW","1251","All Other"
"CW","1252","All Other"
"CW","1300","All Other"
"CW","1400","All Other"
"CW","1450","All Other"
"CW","1501","All Other"
"CW","1502","All Other"
"CW","1550","All Other"
"CW","1610","All Other"
"CW","1650","Special Class"
"CW","1700","All Other"
"CW","1751","All Other"
"CW","1752","All Other"
"CW","2000","All Other"
"CW","2059","All Other"
"CW","2150","All Other"
"CW","2200","All Other"
"CW","2250","All Other"
"CW","2300","All Other"
"CW","2350","All Other"
"CW","2400","All Other"
"CW","2459","All Other"
"CW","2550","All Other"
"CW","2600","All Other"
"CW","2750","All Other"
"CW","2800","All Other"
"CW","2805","All Other"
"CW","3009","All Other"
"CW","3409","All Other"
"CW","3809","All Other"
"CW","3959","All Other"
"CW","4400","All Other"
"CW","4450","All Other"
"CW","4809","All Other"
"CW","5000","All Other"
"CW","5050","All Other"
"CW","5100","All Other"
"CW","5500","All Other"
"CW","5759","All Other"
"CW","6009","All Other"
"CW","6210","All Other"
"CW","6250","All Other"
"CW","6810","All Other"
"CW","6850","All Other"
"CW","6900","All Other"
"CW","7300","All Other"
"CW","7350","All Other"
"CW","7409","All Other"
"CW","7500","All Other"
"CW","7600","All Other"
"CW","7700","All Other"
