"StateCode","WindstormOrHailDeductibleAsNumber_FromGreaterThan","WindstormOrHailDeductibleAsNumber_To","Code"
"CW",-2147483648,0,"1"
"CW",0,50,"2"
"CW",50,100,"3"
"CW",100,250,"4"
"CW",250,500,"5"
"CW",500,750,"6"
"CW",750,1000,"7"
"CW",1000,2500,"8"
"CW",2500,5000,"9"
"CW",5000,10000,"10"
"CW",10000,25000,"11"
"CW",25000,50000,"12"
"CW",50000,75000,"13"
"CW",75000,100000,"14"
"CW",100000,200000,"15"
"CW",200000,250000,"16"
"CW",250000,300000,"17"
"CW",300000,400000,"18"
"CW",400000,500000,"20"
"CW",500000,999999999,"21"
