"StateCode","YearOfConstructionCode","Code"
"CW",1900,"99"
"CW",1901,"01"
"CW",1902,"02"
"CW",1903,"03"
"CW",1904,"04"
"CW",1905,"05"
"CW",1906,"06"
"CW",1907,"07"
"CW",1908,"08"
"CW",1909,"09"
"CW",1910,"10"
"CW",1911,"11"
"CW",1912,"12"
"CW",1913,"13"
"CW",1914,"14"
"CW",1915,"15"
"CW",1916,"16"
"CW",1917,"17"
"CW",1918,"18"
"CW",1919,"19"
"CW",1920,"20"
"CW",1921,"21"
"CW",1922,"22"
"CW",1923,"23"
"CW",1924,"24"
"CW",1925,"25"
"CW",1926,"26"
"CW",1927,"27"
"CW",1928,"28"
"CW",1929,"29"
"CW",1930,"30"
"CW",1931,"31"
"CW",1932,"32"
"CW",1933,"33"
"CW",1934,"34"
"CW",1935,"35"
"CW",1936,"36"
"CW",1937,"37"
"CW",1938,"38"
"CW",1939,"39"
"CW",1940,"40"
"CW",1941,"41"
"CW",1942,"42"
"CW",1943,"43"
"CW",1944,"44"
"CW",1945,"45"
"CW",1946,"46"
"CW",1947,"47"
"CW",1948,"48"
"CW",1949,"49"
"CW",1950,"50"
"CW",1951,"51"
"CW",1952,"52"
"CW",1953,"53"
"CW",1954,"54"
"CW",1955,"55"
"CW",1956,"56"
"CW",1957,"57"
"CW",1958,"58"
"CW",1959,"59"
"CW",1960,"60"
"CW",1961,"61"
"CW",1962,"62"
"CW",1963,"63"
"CW",1964,"64"
"CW",1965,"65"
"CW",1966,"66"
"CW",1967,"67"
"CW",1968,"68"
"CW",1969,"69"
"CW",1970,"70"
"CW",1971,"71"
"CW",1972,"72"
"CW",1973,"73"
"CW",1974,"74"
"CW",1975,"75"
"CW",1976,"76"
"CW",1977,"77"
"CW",1978,"78"
"CW",1979,"79"
"CW",1980,"80"
"CW",1981,"81"
"CW",1982,"82"
"CW",1983,"83"
"CW",1984,"84"
"CW",1985,"85"
"CW",1986,"86"
"CW",1987,"87"
"CW",1988,"88"
"CW",1989,"89"
"CW",1990,"90"
"CW",1991,"91"
"CW",1992,"92"
"CW",1993,"93"
"CW",1994,"94"
"CW",1995,"95"
"CW",1996,"96"
"CW",1997,"97"
"CW",1998,"98"
"CW",1999,"NN"
"CW",2000,"TT"
"CW",2001,"T1"
"CW",2002,"T2"
"CW",2003,"T3"
"CW",2004,"T4"
"CW",2005,"T5"
"CW",2006,"T6"
"CW",2007,"T7"
"CW",2008,"T8"
"CW",2009,"T9"
"CW",2010,"A0"
"CW",2011,"A1"
"CW",2012,"A2"
"CW",2013,"A3"
"CW",2014,"A4"
"CW",2015,"A5"
"CW",2016,"A6"
"CW",2017,"A7"
"CW",2018,"A8"
"CW",2019,"A9"
"CW",2020,"B0"
"CW",2021,"B1"
"CW",2022,"B2"
"CW",2023,"B3"
"CW",2024,"B4"
"CW",2025,"B5"
"CW",2026,"B6"
"CW",2027,"B7"
"CW",2028,"B8"
"CW",2029,"B9"
"CW",2030,"C0"
"CW",2031,"C1"
"CW",2032,"C2"
"CW",2033,"C3"
"CW",2034,"C4"
"CW",2035,"C5"
"CW",2036,"C6"
"CW",2037,"C7"
"CW",2038,"C8"
"CW",2039,"C9"
"CW",2040,"D0"
"CW",2041,"D1"
"CW",2042,"D2"
"CW",2043,"D3"
"CW",2044,"D4"
"CW",2045,"D5"
"CW",2046,"D6"
"CW",2047,"D7"
"CW",2048,"D8"
"CW",2049,"D9"
"CW",2050,"E0"
"CW",2051,"E1"
"CW",2052,"E2"
"CW",2053,"E3"
"CW",2054,"E4"
"CW",2055,"E5"
"CW",2056,"E6"
"CW",2057,"E7"
"CW",2058,"E8"
"CW",2059,"E9"
"CW",2060,"F0"
"CW",2061,"F1"
"CW",2062,"F2"
"CW",2063,"F3"
"CW",2064,"F4"
"CW",2065,"F5"
"CW",2066,"F6"
"CW",2067,"F7"
"CW",2068,"F8"
"CW",2069,"F9"
"CW",2070,"G0"
"CW",2071,"G1"
"CW",2072,"G2"
"CW",2073,"G3"
"CW",2074,"G4"
"CW",2075,"G5"
"CW",2076,"G6"
"CW",2077,"G7"
"CW",2078,"G8"
"CW",2079,"G9"
"CW",2080,"H0"
"CW",2081,"H1"
"CW",2082,"H2"
"CW",2083,"H3"
"CW",2084,"H4"
"CW",2085,"H5"
"CW",2086,"H6"
"CW",2087,"H7"
"CW",2088,"H8"
"CW",2089,"H9"
"CW",2090,"I0"
"CW",2091,"I1"
"CW",2092,"I2"
"CW",2093,"I3"
"CW",2094,"I4"
"CW",2095,"I5"
"CW",2096,"I6"
"CW",2097,"I7"
"CW",2098,"I8"
"CW",2099,"I9"
