"StateCode","TableName","ColumnName","RatingRequiredCondition","Status"
"CW","CommercialProperty","BlktRated","","A"
"CW","CommercialProperty","ConditionalExclusionRatingOption","TRIAType[.='Will Expire During the Next 12 Months']","A"
"CW","CommercialProperty","CoverageForCertifiedActs","TRIAType[.!='Has Already Expired, Use Post-TRIA Forms']","A"
"CW","CommercialProperty","CPPGoverningState","/AscendantOne/*/CommercialPropertyMultiState or /AscendantOne/*/CommercialPackage","A"
"CW","CommercialProperty","CPPIRPMFactor","","A"
"CW","CommercialProperty","EQSubLimitBlktIndicator","","A"
"CW","CommercialProperty","FloodCovEndtBlktIndicator","","A"
"CW","CommercialProperty","FungusWetRotDryRotBacteriaCov","","A"
"CW","CommercialProperty","IRPMApplies","","A"
"CW","CommercialProperty","IRPMFactor","","A"
"CW","CommercialProperty","LossCostMultiplier","","A"
"CW","CommercialProperty","MUBlktRated","","A"
"CW","CommercialProperty","MultiPremiumAndDispersionCreditFactorUser","","A"
"CW","CommercialProperty","MUPolicyType","","A"
"CW","CommercialProperty","PackageModEligibility","","A"
"CW","CommercialProperty","PackageModFactor","","A"
"CW","CommercialProperty","PackagePolicy","","A"
"CW","CommercialProperty","PolicyType","","A"
"CW","CommercialProperty","PostTRIAExclusion","TRIAType[.='Has Already Expired, Use Post-TRIA Forms']","A"
"CW","CommercialProperty","RiskType","PackagePolicy='Yes'","A"
"CW","CommercialProperty","StateFullName","","A"
"CW","CommercialProperty","TRIAConditionalExclusion","TRIAType[.='Will Expire During the Next 12 Months' or .='Has Expired but Use Conditional Forms']","A"
"CW","CommercialProperty","TRIAExpirationDate"," TRIAType[.='Will Expire During the Next 12 Months']","A"
"CW","CommercialProperty","TRIAType","","A"
"CW","CommercialPropertyAdditionalCoveredPropertyDetail","Type","","A"
"CW","CommercialPropertyAdditionalCoveredPropertyDetail","WatercraftExclBuybackConstrctnOption","","A"
"CW","CommercialPropertyAdditionalCoveredPropertySpecialClassDetail","Type","","A"
"CW","CommercialPropertyAdditionalCoveredPropertySpecialClassDetail","WatercraftExclBuybackConstrctnOption","","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","CauseOfLoss","","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","Coinsurance","","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","EQCovIndicator","","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","OverallLimit","","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","PrsnlPropOthersInc","","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","StockOnlyInc","","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","YourBusnPrsnlPropInc","","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceProvisions","FullValue","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","AwningsOrCanopiesOfFabricOrSlatConstructionIncludingTheirSupports","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","BldgsOrTheirContentsUsedToRepairTiresOrElectricBatteries","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","BldgsOrTheirContentsUsedToStoreOrRepairMotorVehiclesNotOwned","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","BldgsOrTheirContentsWithCooking","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","BldgsUsedPrincipallyForStorageSalesOrRepairingOfAppliancesOrHeatingDevices","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","BrickMetalStoneOrConcreteChimneysOrStacksNotFormingPartOfABuildingOrMetalSmokestacks","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","ContentsOfCropSilos","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","CropSilos","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","ImprovementsAlterationsRepairs","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","MetalsInIngotsPigsBilletsOrScraps","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","OresGravelsClayOrSand","","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","PersonalPropertyContainedInSafesOrVaults","","A"
