"StateCode","TableName","Comment","BureauRuleNumber","Status"
"CW","CommercialProperty","Policy Common Rating","Policy Common Rating","A"
"CW","CommercialPropertyAdditionalBuildingProperty","Building - Additional Building Property","30.C.1.c Bldg","A"
"CW","CommercialPropertyAdditionalBuildingPropertyDetail","Building - Additional Building Property Detail","30.C.1.c Bldg Dtl","A"
"CW","CommercialPropertyAdditionalCoveredProperty","Building - Additional Covered Property","30.C.2 Bldg","A"
"CW","CommercialPropertyAdditionalCoveredPropertyDetail","Building - Additional Covered Property Detail","30.C.2 Bldg Dtl","A"
"CW","CommercialPropertyAdditionalCoveredPropertyPrsnlProp","Personal Property - Additional Covered Property","31.C.3 PrsnlProp","A"
"CW","CommercialPropertyAdditionalCoveredPropertyPrsnlPropDetail","Personal Property - Additional Covered Property Detail","31.C.3 PrsnlProp Dtl","A"
"CW","CommercialPropertyAdditionalCoveredPropertySpecialClass","Special Class - Additional Covered Property","30.C.2 SpCl","A"
"CW","CommercialPropertyAdditionalCoveredPropertySpecialClassDetail","Special Class - Additional Covered Property Detail","30.C.2 SpCl Dtl","A"
"CW","CommercialPropertyAdditionalInsuredBuildingOwner","Building - Additional Building Owner","37.C.2 Bldg","A"
"CW","CommercialPropertyAdditionalInsuredBuildingOwnerDetail","Building - Additional Building Owner Detail","37.C.2 Bldg Dtl","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","Policy - CP DS 04 Addl Locations Special Coinsurance Gen Info","35.B.2 Policy","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformationBasicGroupICoverage","Policy - CP DS 04 Addl Locations Special Coinsurance Gen Info COL BGI","35.B.2 Policy BGI","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformationBasicGroupIICoverage","Policy - CP DS 04 Addl Locations Special Coinsurance Gen Info COL BGII","35.B.2 Policy BGII","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformationBroadCoverage","Policy - CP DS 04 Addl Locations Special Coinsurance Gen Info COL Broad","35.B.2 Policy Broad","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformationEarthquakeCoverage","Policy - CP DS 04 Addl Locations Special Coinsurance Gen Info COL EQ","35.B.2 Policy EQ","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformationSpecialCoverage","Policy - CP DS 04 Addl Locations Special Coinsurance Gen Info COL Special","35.B.2 Policy Sp","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceProvisions","Personal Property - Additional Locations Special Coinsurance Provisions","35.A PrsnlProp","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceProvisionsBasicGroupICoverage","Personal Property - Additional Locations Special Coinsurance Provisions COL BGI","35.A PrsnlProp BGI","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceProvisionsBasicGroupIICoverage","Personal Property - Additional Locations Special Coinsurance Provisions COL BGII","35.A PrsnlProp BGII","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceProvisionsBroadCoverage","Personal Property - Additional Locations Special Coinsurance Provisions COL Broad","35.A PrsnlProp Broad","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceProvisionsEarthquakeCoverage","Personal Property - Additional Locations Special Coinsurance Provisions COL EQ","35.A PrsnlProp EQ","A"
"CW","CommercialPropertyAdditionalLocationsSpecialCoinsuranceProvisionsSpecialCoverage","Personal Property - Additional Locations Special Coinsurance Provisions COL Special","35.A PrsnlProp Sp","A"
"CW","CommercialPropertyAdditionalPropertyNotCovered","Building - Additional Property Not Covered","30.C.4 Bldg","A"
"CW","CommercialPropertyAdditionalPropertyNotCoveredSpecialClass","Special Class - Additional Property Not Covered","30.C.4 SpCl","A"
"CW","CommercialPropertyAgriculturalProductsStorage","Personal Property - Agricultural Products Storage CP 13 30","36.B.2 PrsnlProp","A"
"CW","CommercialPropertyAlcoholicBeveragesTaxExclusion","Personal Property - Alcoholic Beverages Tax Exclusion","38.B PrsnlProp","A"
"CW","CommercialPropertyBlanketRating","Policy - Blanket Rating","34.B Policy","A"
"CW","CommercialPropertyBlanketRatingDetail","Policy - Blanket Rating Detail","34.B Policy Dtl","A"
"CW","CommercialPropertyBrandsAndLabels","Personal Property - Brands and Labels","38.C PrsnlProp","A"
"CW","CommercialPropertyBrandsAndLabelsBasicGroupICoverage","Personal Property - Brands and Labels COL BGI","38.C PrsnlProp BGI","A"
"CW","CommercialPropertyBrandsAndLabelsBasicGroupIICoverage","Personal Property - Brands and Labels COL BGII","38.C PrsnlProp BGII","A"
"CW","CommercialPropertyBrandsAndLabelsBroadCoverage","Personal Property - Brands and Labels COL Broad","38.C PrsnlProp Broad","A"
"CW","CommercialPropertyBrandsAndLabelsEarthquakeCoverage","Personal Property - Brands and Labels COL EQ","38.C PrsnlProp EQ","A"
"CW","CommercialPropertyBrandsAndLabelsSpecialCoverage","Personal Property - Brands and Labels COL Special","38.C PrsnlProp Sp","A"
"CW","CommercialPropertyBrokenOrCrackedGlassExclusion","Building - Broken Or Cracked Glass Exclusion Form","38.V Bldg","A"
"CW","CommercialPropertyBrokenOrCrackedGlassExclusionDetail","Building - Broken Or Cracked Glass Exclusion Form Detail","38.V Bldg Dtl","A"
"CW","CommercialPropertyBuildersRiskChangesStandardProperty","Building - Builders Risk Changes Standard Property","69.B.4 Bldg","A"
"CW","CommercialPropertyBuildersRiskCollapseDuringConstruction","Building - Building Builders Risk Collapse During Construction","41.D Bldg","A"
"CW","CommercialPropertyBuildersRiskCoverageForm","Building - Builders Risk Coverage Form CP 00 20","40 Bldg","A"
"CW","CommercialPropertyBuildersRiskPremiumAdjustmentForm","Building - Builders Risk Premium Adjustment CP 11 06","41.B.3.c Bldg","A"
"CW","CommercialPropertyBuildersRiskPremiumAdjustmentFormDetail","Building - Builders Risk Premium Adjustment Detail","41.B.3.c Bldg Dtl","A"
"CW","CommercialPropertyBuildersRiskRenovations","Building - Builders Risk Renovations","41.A Bldg","A"
"CW","CommercialPropertyBuildersRiskRenovationsBasicGroupICoverage","Building - Builders Risk Renovations COL BGI","41.A Bldg BGI","A"
"CW","CommercialPropertyBuildersRiskRenovationsBasicGroupIICoverage","Building - Builders Risk Renovations COL BGII","41.A Bldg BGII","A"
"CW","CommercialPropertyBuildersRiskRenovationsBroadCoverage","Building - Builders Risk Renovations COL Broad","41.A Bldg Broad","A"
"CW","CommercialPropertyBuildersRiskRenovationsDetail","Building - Builders Risk Renovations Detail","41.A Bldg Dtl","A"
"CW","CommercialPropertyBuildersRiskRenovationsEarthquakeCoverage","Building - Builders Risk Renovations COL EQ","41.A Bldg EQ","A"
"CW","CommercialPropertyBuildersRiskRenovationsSpecialCoverage","Building - Builders Risk Renovations COL Sp","41.A Bldg Sp","A"
"CW","CommercialPropertyBuildersRiskReportingForm","Building - Builders Risk Reporting Form  CP 11 05","41.B Bldg","A"
"CW","CommercialPropertyBuildersRiskReportingFormBasicGroupICoverage","Building - Builders Risk Reporting Form COL BGI","41.B Bldg BGI","A"
"CW","CommercialPropertyBuildersRiskReportingFormBasicGroupIICoverage","Building - Builders Risk Reporting Form COL BGII","41.B Bldg BGII","A"
"CW","CommercialPropertyBuildersRiskReportingFormBroadCoverage","Building - Builders Risk Reporting Form COL Broad","41.B Bldg Broad","A"
"CW","CommercialPropertyBuildersRiskReportingFormEarthquakeCoverage","Building - Builders Risk Reporting Form COL EQ","41.B Bldg EQ","A"
"CW","CommercialPropertyBuildersRiskReportingFormSpecialCoverage","Building - Builders Risk Reporting Form COL Special","41.B Bldg Sp","A"
"CW","CommercialPropertyBuildersRiskSeparateOrSubContractorsCoverage","Building - Builders Risk - Separate Or Sub-Contractors Cov CP 11 15","41.C.2 Bldg","A"
"CW","CommercialPropertyBuildersRiskSeparateOrSubContractorsCoverageDetail","Building - Builders Risk - Separate Or Sub-Contractors Cov Detail","41.C.2 Bldg Dtl","A"
"CW","CommercialPropertyBuildersRiskSeparateOrSubContractorsExclusion","Building - Builders Risk - Separate Or Sub-Contractors Exclusion CP 11 14","41.C.1 Bldg","A"
"CW","CommercialPropertyBuildersRiskSeparateOrSubContractorsExclusionDetail","Building - Builders Risk - Separate Or Sub-Contractors Exclusion Detail","41.C.1 Bldg Dtl","A"
"CW","CommercialPropertyBuildersRiskTheftOfBuildingMaterialsFixturesMachineryEquipment","Building - Building Builders Risk Theft of Building Materials","41.E Bldg","A"
"CW","CommercialPropertyBuildingAndPersonalPropertyCoverageForm","Building - Building And Personal Property Coverage Form","30.A Bldg","A"
"CW","CommercialPropertyBuildingAndPersonalPropertyCoverageFormOccupClass","Occupancy - Building And Personal Property Coverage Form","31.A Occup","A"
"CW","CommercialPropertyBuildingAndPersonalPropertyCoverageFormSpecialClass","Special Class - Building And Personal Property Coverage Form","30.A SpCl","A"
"CW","CommercialPropertyBurglaryAndRobberyProtectiveSafeguards","Building - Burglary And Robbery Protective Safeguards","12.B.2 Bldg","A"
"CW","CommercialPropertyBusinessIncome","Business Income Common Rating","Busn Income Common Rating","A"
"CW","CommercialPropertyBusinessIncomeAgreedValBasicGroupICoverage","Business Income - Agreed Value Coverage COL BGI","51.A Busn Inc BGI","A"
"CW","CommercialPropertyBusinessIncomeAgreedValBasicGroupIICoverage","Business Income - Agreed Value Coverage COL BGII","51.A Busn Inc BGII","A"
"CW","CommercialPropertyBusinessIncomeAgreedValBroadCoverage","Business Income - Agreed Value Coverage COL Broad","51.A Busn Inc Broad","A"
"CW","CommercialPropertyBusinessIncomeAgreedValCoverage","Business Income - Agreed Value Coverage","51.A Busn Inc","A"
"CW","CommercialPropertyBusinessIncomeAgreedValEarthquakeCoverage","Business Income - Agreed Value Coverage COL EQ","51.A Busn Inc EQ","A"
"CW","CommercialPropertyBusinessIncomeAgreedValSpecialCoverage","Business Income - Agreed Value Coverage COL Special","51.A Busn Inc Sp","A"
